time,temperature,gas,humidity,pressure,altitude,pm10standard,pm25standard,pm100standard,pm10env,pm25env,pm100 env,p03um,p05um,p10um,p25um,p50um,p100um
Wed Feb 18 15:52:53 2026,19.645625,185905,33.63816799244858,1003.2532000733987,83.56463120686809,0,1,1,0,1,1,180,52,8,0,0,0
Wed Feb 18 15:52:54 2026,19.6501171875,185698,33.62160649924661,1003.2571850017977,83.53118658061635,0,1,1,0,1,1,180,52,8,0,0,0
Wed Feb 18 15:52:55 2026,19.6548046875,185698,33.599405929923364,1003.2580439299984,83.52397779952634,0,1,1,0,1,1,180,52,8,0,0,0
Wed Feb 18 15:52:56 2026,19.6563671875,186111,33.58257590828885,1003.2554558920026,83.54569860502792,0,1,1,0,1,1,183,52,8,0,0,0
Wed Feb 18 15:52:57 2026,19.65890625,186526,33.577153886156864,1003.2493101022848,83.59727898128767,0,1,1,0,1,1,183,52,8,0,0,0
Wed Feb 18 15:52:58 2026,19.661640625,185698,33.56609252435949,1003.2572843341987,83.53035290702971,0,1,1,0,1,1,183,52,8,0,0,0
Wed Feb 18 15:52:59 2026,19.663984375,185698,33.54368175756964,1003.2594383140805,83.51227507459573,0,1,1,0,1,1,183,53,8,0,0,0
Wed Feb 18 15:53:00 2026,19.6676953125,185288,33.52140110818316,1003.2621301695618,83.48968302646428,0,1,1,0,1,1,183,53,8,0,0,0
Wed Feb 18 15:53:01 2026,19.6708203125,184963,33.510379749432886,1003.2604030783684,83.50417805134414,0,1,1,0,1,1,183,53,8,0,0,0
Wed Feb 18 15:53:02 2026,19.6762890625,185493,33.50523179823202,1003.2591051744646,83.51507103280385,0,0,0,0,0,0,171,44,5,0,0,0
Wed Feb 18 15:53:03 2026,19.6809765625,185288,33.488701488806335,1003.259963604946,83.50786644011467,0,0,0,0,0,0,171,44,5,0,0,0
Wed Feb 18 15:53:05 2026,19.6930859375,186526,33.46720680980315,1003.2627557199476,83.48443295059107,0,0,0,0,0,0,171,44,5,0,0,0
Wed Feb 18 15:53:06 2026,19.7016796875,186218,33.445388652393156,1003.2631790785164,83.48087981767587,0,0,0,0,0,0,144,35,4,0,0,0
Wed Feb 18 15:53:07 2026,19.707734375,186218,33.43464342538095,1003.2628499872112,83.48364179107354,0,0,0,0,0,0,144,35,4,0,0,0
Wed Feb 18 15:53:08 2026,19.7141796875,186640,33.41263016980109,1003.2631671236111,83.48098015192018,0,0,0,0,0,0,144,35,4,0,0,0
Wed Feb 18 15:53:09 2026,19.71984375,185484,33.40750257253465,1003.2604665306737,83.50364551237504,0,0,0,0,0,0,147,36,5,0,0,0
Wed Feb 18 15:53:10 2026,19.7227734375,186534,33.40212189523959,1003.2618649204924,83.49190919124503,0,0,0,0,0,0,147,36,5,0,0,0
Wed Feb 18 15:53:11 2026,19.723359375,186534,33.39087283737541,1003.2593849551865,83.51272290251175,0,0,0,0,0,0,147,36,5,0,0,0
Wed Feb 18 15:53:12 2026,19.723359375,187490,33.379570389807604,1003.2593849551865,83.51272290251175,0,0,0,0,0,0,147,36,1,0,0,0
Wed Feb 18 15:53:13 2026,19.72375,186428,33.35135416640183,1003.254857015319,83.55072484525593,0,0,0,0,0,0,147,36,1,0,0,0
Wed Feb 18 15:53:14 2026,19.72375,187704,33.362654468177965,1003.2634808956273,83.47834674978616,0,0,0,0,0,0,147,36,1,0,0,0
Wed Feb 18 15:53:15 2026,19.7227734375,187277,33.339964445948304,1003.2601401469038,83.5063847681617,0,0,0,0,0,0,150,37,2,0,0,0
Wed Feb 18 15:53:16 2026,19.72140625,187277,33.322890602980806,1003.2561530169826,83.53984779152245,0,0,0,0,0,0,150,37,2,0,0,0
Wed Feb 18 15:53:17 2026,19.71828125,187490,33.31695315661479,1003.2527066828272,83.56877213273162,0,0,0,0,0,0,150,37,2,0,0,0
Wed Feb 18 15:53:18 2026,19.7157421875,186958,33.29412614558147,1003.2450556582917,83.63298582336883,0,0,0,0,0,0,138,32,2,0,0,0
Wed Feb 18 15:53:19 2026,19.71203125,187170,33.2881359756599,1003.2475387290018,83.61214580826012,0,0,0,0,0,0,138,32,2,0,0,0
Wed Feb 18 15:53:20 2026,19.7083203125,186640,33.29344085800313,1003.2482969758094,83.6057819724693,0,0,0,0,0,0,138,32,2,0,0,0
